;;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;participation in decisionmaking;participation in decisionmaking
;GGPI;fraction of life expectancy at birth spent in good health;fraction of life expectancy at birth spent in good health;population with completed secondary education or higher;population with completed secondary education or higher;youth not in education, employment or training ;youth not in education, employment or training ;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;account ownership at a financial institution or with a mobile-money-service provider ;account ownership at a financial institution or with a mobile-money-service provider ;share of seats held by women;share of seats held by women;
country;value;female;male;female;male;female;male;female;male;female;male;in parliament;in local government;Share of managerial positions held by women
Guinea;0.546;86.2602819;88.88355712;3.672306634;12.36427777;41.49;24.84;65;98.3;24.01;36.91;29.62962963;15.9;23.38101226
India;0.56;83.67941295;86.70763862;24.92271996;38.64722824;43.53;13.72;27.1;97.3;77.55;77.51;14.72471191;44.4;15.93494761
Iran (Islamic Republic of);0.393;84.10811043;87.14735164;54.31941464;51.55419699;39.01;16.94;10.3;96.9;85.08;94.84;5.594405594;5.1;18.979569
Iraq;0.486;84.97490742;88.12523184;31.05203527;36.45857476;52.71;22.12;9.7;95.5;14.89;22.21;28.87537994;— ;15.00216586
Jordan;0.562;85.25723169;88.3537995;49.85884857;50.64435959;38.29;28.33;9.86;76.16;34.06;58.6;13.33333333;24.9;57.24264094
Lebanon;0.422;84.70521631;87.8890273;32.51166916;33.38732147;28.89;17.91;22.5;97.6;16.59;24.65;6.25;4;21.20594901
Maldives;0.575;86.70745897;88.67455207;9.077562097;10.89050814;28.51;24.07;46.5;95.1;74.18;85.47;4.597701149;39.5;18.65715212
Mali;0.579;85.89142581;88.15633346;3.203279972;7.813950062;43.32;15.21;56.9;98.4;41.21;45.93;28.57142857;25.3;17.4410964
Myanmar;0.598;86.93877404;89.26240013;21.85656929;23.90452957;20.72;8.88;43.9;98.3;46.15;49.52;14.97659906;— ;27.81287434
Nigeria;0.514;85.63778851;88.10247732;36.94507003;52.67941273;43.49;29.95;74.7;97;34.96;55.45;4.47761194;11.1;30.4241857
Pakistan;0.428;85.16919471;88.10685572;10.13836956;12.68216991;56.42;13.59;29.5;99.1;13.48;28.18;20.13574661;16.8;5.707176992
Sierra Leone;0.588;86.09184393;88.12425291;7.773139;20.09900284;34.81;31.23;65;83.6;24.76;33.35;13.01369863;18.2;35.9126678
Sri Lanka;0.516;86.4085226;88.14799309;63.95890045;63.35026932;27.5;15.33;31.7;97.6;89.28;89.26;5.333333333;10.9;27.0128455
Tunisia;0.594;85.48465853;88.26512638;37;35.6;34.53;28.53;34.4;98.2;28.75;45.14;16.23376623;48.5;10.53543914
Türkiye;0.511;85.47286588;88.70018535;37.66810216;49.90647064;32.37;17.46;33;96.4;62.55;85.34;17.4137931;10.1;19.65124926
Yemen;0.141;84.40252653;88.34529191;12.4;15.2;69.69;22.06;6.6;93.2;1.67;11.39;0.298507463;— ;4.116908523
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
countries or territories with incomplete data;;;;;;;;;;;;;;
Afghanistan;..;84.16217143;86.48535171;5.196119785;12.09541035;81.25;41.92;23.4;94.2;4.7;14.79;27.21518987;..;4.890466316
Algeria;..;84.58846541;87.53104587;37.81721262;32.52310215;31.69;10.94;..;..;31.19;56.83;6.759098787;17.6;8.36485662
Andorra;..;..;..;45.82161953;46.86303731;..;..;..;..;..;..;46.42857143;41.3;..
Angola;..;85.78814047;88.22306925;12.29259968;22.67195702;22.57;20.77;88.2;97.2;22.33;36.13;33.63636364;..;15.35762483
Antigua and Barbuda;..;86.83063257;88.46323566;..;..;24;12;..;..;..;..;22.85714286;66.7;..
Argentina;..;86.49500978;88.97075491;63.34545753;55.29668122;18.56;13.77;63.5;98.3;73.75;69.56;44.3768997;..;32.6943137
Azerbaijan;..;88.03174561;90.25911033;84.76335203;92.23519774;..;..;..;..;27.72;29.44;18.6440678;38.8;36.18153264
Bahamas;..;86.78555002;89.12628817;82.4593811;81.22306824;..;..;..;..;..;..;20;..;..
Bahrain;..;85.03128481;87.920198;67.18782043;69.48377991;..;..;..;..;75.41;86.31;22.5;10;21.56211384
Barbados;..;87.14476103;89.13555225;82.29431817;65.65916461;25.88;32.15;77.3;88.4;..;..;32.65306122;— ;49.27015755
Belarus;..;87.12383236;89.45990099;95.12992279;96.65706473;7.24;8.19;..;..;81.34;80.93;34.70588235;48.2;47.1765082
Brunei Darussalam;..;87.7687471;88.8421523;62.29999161;63.65320969;19.98;17.49;63.7;93.7;..;..;8.823529412;— ;42.60599793
Cabo Verde;..;86.24164857;88.99624235;19.80814934;20.28751945;29;27.1;84.8;98;..;..;41.66666667;41.8;46.02972399
Central African Republic;..;86.11256698;88.59145616;9.5;20.3;..;..;..;..;9.72;18.08;12.85714286;— ;..
Chad;..;86.01265912;88.49150987;4.161802014;14.98541422;46.38;24.81;49.9;93.3;14.85;29.03;25.88832487;..;..
Comoros;..;86.55432043;88.40155444;..;..;24.88;20.69;56.1;92;17.89;25.7;16.66666667;33.3;51.12640801
Congo;..;85.51887827;88.31934716;5.3;12.4;22.84;21.58;..;..;43.79;50.61;15.90909091;..;..
Cuba;..;86.17992478;88.30494058;73.9167277;74.59186011;..;..;..;..;..;..;53.41296928;42.1;..
Djibouti;..;86.90130983;89.24605083;..;..;27.98;17.58;15.7;74.8;8.76;16.63;23.07692308;28.9;12.30724469
Dominica;..;..;..;..;..;..;..;..;..;..;..;37.5;..;..
Equatorial Guinea;..;85.05674118;87.78039775;..;..;..;..;..;..;..;..;27.01149425;26.9;..
