;;;;;;;;;;;;;;;;Fraction of life expectancy at birth spent in good health;Fraction of life expectancy at birth spent in good health;Population with completed secondary education or higher;Population with completed secondary education or higher;Youth not in education, employment or training ;Youth not in education, employment or training ;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Account ownership at a financial institution or with a mobile-money-service provider ;Account ownership at a financial institution or with a mobile-money-service provider ;
Country;WEI;Women's empowerment group;GGPI;Gender parity group;Human development group;Sustainable development goal regions;Women of reproductive age whose need for family planning is satisfied with modern methods;Adolescent birth rate;Population with completed secondary education or higher, female ;Youth not in education, employment or training, female ;Labour force participation rate among prime-working-age individuals who are living in a household comprising a couple and at least one child under age 6, female;Account ownership at a financial institution or with a mobile-money-service provider, female;Share of seats held by women in parliament;Share of managerial positions held by women;Ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months ;Female;Male;Female;Male;Female;Male;Female;Male;Female;Male;
Iraq;0.363;Low;0.486;Low;Medium;Northern Africa and Western Asia;58;61.151;31.05203527;52.71;9.7;14.89;28.87537994;15.00216586;16.61315687;84.97490742;88.12523184;31.05203527;36.45857476;52.71;22.12;9.7;95.5;14.89;22.21;
Ireland;0.759;Upper-middle;0.781;Upper-middle;Very high;Europe and Northern America;88.4;5.872;75.70702678;6.83;71.8;99.53;27.39726027;38.00951421;3;85.57072671;88.18377335;75.70702678;70.27574585;6.83;8.6;71.8;92.9;99.53;99.8;
Israel;0.694;Lower-middle;0.714;Upper-middle;Very high;Northern Africa and Western Asia;68.6;7.42;84.99616569;17.18;76.7;91.93;24.16666667;29.04577724;6;86.23160507;89.08126688;84.99616569;86.03916099;17.18;16.34;76.7;91.7;91.93;93.97;
Italy;0.7;Upper-middle;0.767;Upper-middle;Very high;Europe and Northern America;74.1;3.899;51.77241135;20;59.6;97.09;33.00330033;28.60878719;4;85.50245556;87.95061453;51.77241135;53.20306015;20;19.53;59.6;94.1;97.09;97.48;
Jamaica;0.694;Lower-middle;0.824;High;High;Latin America and the Caribbean;79.1;32.021;63.1;31.53;78.8;71.55;30.95238095;56.68650099;7;86.57378109;88.66126264;63.1;58.4;31.53;27.86;78.8;89;71.55;75.11;
Japan;0.651;Lower-middle;0.627;Lower-middle;Very high;Eastern Asia and South-Eastern Asia;68;2.813;91.6;3.76;65.4;98.84;15.49295775;12.90322581;4;86.82289263;89.13509064;91.6;86.6;3.76;2.73;65.4;80.6;98.84;98.12;
Jordan;0.488;Low;0.562;Low;High;Northern Africa and Western Asia;57;24.87;49.85884857;38.29;9.86;34.06;13.33333333;57.24264094;13;85.25723169;88.3537995;49.85884857;50.64435959;38.29;28.33;9.86;76.16;34.06;58.6;
Kenya;0.591;Low;0.769;Upper-middle;Medium;Sub-Saharan Africa;77.2;62.61;22.60150632;24.29;67.1;75.36;24.63768116;49.62383514;23;86.09672484;88.55730929;22.60150632;29.59579631;24.29;14.97;67.1;94.7;75.36;83.24;
Lao People's Democratic Republic;0.582;Low;0.839;High;Medium;Eastern Asia and South-Eastern Asia;71.5;71.782;16.7;27.88;69.9;37.85;21.95121951;59.03944061;8;87.22960989;89.43854747;16.7;17.1;27.88;23.61;69.9;85.5;37.85;36.75;
Latvia;0.782;Upper-middle;0.831;High;Very high;Europe and Northern America;80.9;10.536;93.46544118;9.09;75.2;97.55;29;45.89239445;6;86.84790706;89.12353812;93.46544118;89.39849325;9.09;8.18;75.2;94.3;97.55;95.51;
