country;wei;weg;ggpi;gender_parity_group;human_development_group;sustainable_development_goal_regions;family;birth_rate;education;youth_not_in_education ;labour_force_participation_rate;account_ownership;politics;managerial_positions;violence;good_health_female;good_health_male;secondary_education_female;secondary_education_male;youth_not_in_education_female;youth_not_in_education_male;labour_force_participation_female;labour_force_participation_male;account_ownershipt_female;account_ownershipt_male
Latvia;0.78;Upper-middle;0.83;High;Very high;Europe and Northern America;80.9;10.54;93.47;9.09;75.2;97.6;29;45.89;6;86.85;89.12;93.47;89.4;9.09;8.18;75.2;94.3;97.55;95.51
Lebanon;0.37;Low;0.42;Low;High;Northern Africa and Western Asia;62.4;20.04;32.51;28.89;22.5;16.6;6.3;21.21;18.2;84.71;87.89;32.51;33.39;28.89;17.91;22.5;97.6;16.59;24.65
Lesotho;0.53;Low;0.78;Upper-middle;Low;Sub-Saharan Africa;82.9;89.08;18.72;42.14;60.8;46.5;26;33.78;16;85.59;88.78;18.72;19.84;42.14;28.2;60.8;78.8;46.46;44.6
Liberia;0.44;Low;0.6;Lower-middle;Low;Sub-Saharan Africa;49.5;122;17;41.55;73.1;44.2;9.7;52.45;27;84.58;86.87;17;30.6;41.55;39.85;73.1;85.9;44.2;59.34
Lithuania;0.76;Upper-middle;0.79;Upper-middle;Very high;Europe and Northern America;72.6;9.71;89.03;10.9;83.2;90.4;28.4;36.97;5;86.62;89.07;89.03;90.88;10.9;11.7;83.2;97.6;90.38;96.99
Luxembourg;0.74;Upper-middle;0.76;Upper-middle;Very high;Europe and Northern America;80.1;4.25;72.47;7.35;77.6;98.2;35;21.95;4;85.46;88.21;72.47;69.84;7.35;9.92;77.6;97.4;98.18;99.35
Malawi;0.46;Low;0.61;Lower-middle;Low;Sub-Saharan Africa;78.1;117.23;12.36;24.89;68.9;38.1;20.7;15.62;17;85.63;88.42;12.36;14.49;24.89;13.67;68.9;86;38.14;47.75
Maldives;0.52;Low;0.58;Low;High;Central Asia and Southern Asia;33.5;6.81;9.08;28.51;46.5;74.2;4.6;18.66;6;86.71;88.67;9.08;10.89;28.51;24.07;46.5;95.1;74.18;85.47
Mali;0.4;Low;0.58;Low;Low;Sub-Saharan Africa;45.5;147.65;3.2;43.32;56.9;41.2;28.6;17.44;18;85.89;88.16;3.2;7.81;43.32;15.21;56.9;98.4;41.21;45.93
Malta;0.7;Lower-middle;0.75;Upper-middle;Very high;Europe and Northern America;75;11.51;47.1;13.74;75.8;95.3;27.8;28.92;4;85.85;88.7;47.1;49.37;13.74;13.29;75.8;99.2;95.33;97.57
Mauritius;0.61;Lower-middle;0.73;Upper-middle;Very high;Sub-Saharan Africa;56.9;24.02;52.58;33.3;56.1;89.4;20;39.41;13.2;85.3;87.39;52.58;54.02;33.3;31.56;56.1;88;89.4;91.74
Mexico;0.6;Low;0.8;High;High;Latin America and the Caribbean;81.6;53.69;35.21;26.73;42.2;33.3;50.1;38.47;10;85.25;87.9;35.21;37.49;26.73;10.15;42.2;97.6;33.29;41.1
Moldova (Republic of);0.69;Lower-middle;0.88;High;High;Europe and Northern America;63.7;27.21;73.6;13.29;51.3;62.9;38.6;44.59;9;86.99;89.33;73.6;75.59;13.29;13.8;51.3;55.2;62.92;65.7
Mongolia;0.67;Lower-middle;0.78;Upper-middle;High;Eastern Asia and South-Eastern Asia;69.8;25.03;50.5;18.06;66.8;99;17.1;45.66;12;87.68;89.4;50.5;38.87;18.06;16.28;66.8;93.4;98.97;97.89
Montenegro;0.64;Lower-middle;0.72;Upper-middle;Very high;Europe and Northern America;41.2;9.75;77.64;20.65;39.1;67.6;28.4;32.12;4;87.4;89.18;77.64;87.87;20.65;21.51;39.1;92.6;67.57;69.19
Myanmar;0.52;Low;0.6;Low;Medium;Eastern Asia and South-Eastern Asia;78.7;32.76;21.86;20.72;43.9;46.2;15;27.81;11;86.94;89.26;21.86;23.9;20.72;8.88;43.9;98.3;46.15;49.52
Namibia;0.62;Lower-middle;0.86;High;Medium;Sub-Saharan Africa;83;63.07;22.28;34.34;73.3;69.3;35.6;43.57;16;85.65;88.15;22.28;25.47;34.34;29.37;73.3;91.2;69.31;73.67
Nepal;0.49;Low;0.62;Lower-middle;Medium;Central Asia and Southern Asia;63.5;63.36;18.46;45.82;33.7;49.9;33.9;13.17;11;85.34;88.03;18.46;29.51;45.82;21.16;33.7;78.3;49.9;58.61
Netherlands;0.78;Upper-middle;0.81;High;Very high;Europe and Northern America;88.4;2.75;69.8;5.01;85;99.5;37.8;25.95;5;85.99;88.74;69.8;76.23;5.01;5.21;85;95.8;99.47;100
Niger;0.31;Low;0.66;Lower-middle;Low;Sub-Saharan Africa;40.5;168.04;4.04;77.21;67.7;10.9;30.7;49.31;13;86.45;89.07;4.04;6.13;77.21;56.94;67.7;97.7;10.91;19.94
Nigeria;0.44;Low;0.51;Low;Low;Sub-Saharan Africa;41.3;99.56;36.95;43.49;74.7;35;4.5;30.42;13;85.64;88.1;36.95;52.68;43.49;29.95;74.7;97;34.96;55.45
North Macedonia;0.68;Lower-middle;0.78;Upper-middle;High;Europe and Northern America;37.4;16.12;61.68;17.92;75.5;79.9;42.5;21.57;4;87.52;89.3;61.68;74.98;17.92;18.78;75.5;96.9;79.91;90.62
Norway;0.8;High;0.89;High;Very high;Europe and Northern America;88.6;2.2;79.29;5.7;63.8;100;46.2;33.47;4;85.15;87.63;79.29;78.91;5.7;6.91;63.8;71.9;100;98.98
Pakistan;0.34;Low;0.43;Low;Low;Central Asia and Southern Asia;52.8;41.21;10.14;56.42;29.5;13.5;20.1;5.71;16;85.17;88.11;10.14;12.68;56.42;13.59;29.5;99.1;13.48;28.18
Panama;0.56;Low;0.65;Lower-middle;Very high;Latin America and the Caribbean;73.3;68.49;53.48;22.19;51;43.1;22.5;39.25;8;85.35;87.92;53.48;49.18;22.19;13.23;51;99.2;43.11;46.95
Paraguay;0.59;Low;0.7;Lower-middle;High;Latin America and the Caribbean;82.2;69.92;43.48;27.64;60.8;55.4;16.8;39.96;6;85.38;88.19;43.48;41.4;27.64;10.33;60.8;98.6;55.35;53.49
Peru;0.64;Lower-middle;0.8;Upper-middle;High;Latin America and the Caribbean;70.3;56.09;49.87;26;67.6;53;38.8;35.37;11;85.8;88.21;49.87;60.5;26;19.51;67.6;97.1;53.03;62.32
Philippines;0.62;Lower-middle;0.77;Upper-middle;Medium;Eastern Asia and South-Eastern Asia;58.6;48.06;59.2;20.77;42.9;47.4;27.5;53.37;6;86.88;89.23;59.2;50.8;20.77;14.32;42.9;94.2;47.42;55.59
Poland;0.76;Upper-middle;0.8;Upper-middle;Very high;Europe and Northern America;72.1;9.16;85.95;11.94;66.9;95.7;27.5;42.98;3;87.06;88.48;85.95;89.82;11.94;10.51;66.9;92.6;95.69;95.75
Portugal;0.75;Upper-middle;0.84;High;Very high;Europe and Northern America;78.8;7.07;44.39;7.4;91.1;90.2;36.1;37.95;4;85.61;88.56;44.39;42.34;7.4;7.82;91.1;97.9;90.18;95.37
Romania;0.62;Lower-middle;0.66;Lower-middle;Very high;Europe and Northern America;74.6;35.42;66;21.48;60.5;65.7;18.9;35.83;7;87.62;89.36;66;75.37;21.48;14.74;60.5;93.2;65.74;72.68
Rwanda;0.57;Low;0.85;High;Low;Sub-Saharan Africa;74.2;32.25;9.12;30.78;64.3;45;54.7;35;23;86.2;88.15;9.12;12.12;30.78;27.26;64.3;85.9;44.96;55.75
Senegal;0.51;Low;0.62;Lower-middle;Low;Sub-Saharan Africa;55.9;64.61;5.61;45.86;63.4;50.3;46.1;15.22;12;85.4;87.98;5.61;23.81;45.86;22.37;63.43;92.56;50.3;62.31
Serbia;0.72;Upper-middle;0.82;High;Very high;Europe and Northern America;49.7;14.36;69.92;15.71;74.1;89.8;34.8;33.02;4;87.37;88.97;69.92;79.91;15.71;16.37;74.1;95.2;89.83;88.99
